HPNR,Leistungstyp,Heilmittelbereich,Leistungserbringer,Grundlage,Leistungsart,Leistung,gültig ab,gültig bis,Eigentümer
20303,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut,,"Bewegungstherapie / Übungsbehandl., EB",Atem- und Kreislaufgymnastik,1900-01-01,9999-12-31,
60303,Heilmittel,Physiotherapie,Krankenhaus,,"Bewegungstherapie / Übungsbehandl., EB",Atem- und Kreislaufgymnastik,1900-01-01,9999-12-31,
80303,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten,,"Bewegungstherapie / Übungsbehandl., EB",Atem- und Kreislaufgymnastik,1900-01-01,9999-12-31,
10304,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister",,"Bewegungstherapie / Übungsbehandl., EB",Atemgymnastik mit Massage,1900-01-01,9999-12-31,
20304,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut,,"Bewegungstherapie / Übungsbehandl., EB",Atemgymnastik mit Massage,1900-01-01,9999-12-31,
60304,Heilmittel,Physiotherapie,Krankenhaus,,"Bewegungstherapie / Übungsbehandl., EB",Atemgymnastik mit Massage,1900-01-01,9999-12-31,
80304,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten,,"Bewegungstherapie / Übungsbehandl., EB",Atemgymnastik mit Massage,1900-01-01,9999-12-31,
10305,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister", 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., EB",Übungsbehandlung im Bewegungsbad: Einzelbehandlung,1900-01-01,9999-12-31,GKV-SV
20305,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut, 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., EB",Übungsbehandlung im Bewegungsbad: Einzelbehandlung,1900-01-01,9999-12-31,GKV-SV
60305,Heilmittel,Physiotherapie,Krankenhaus, 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., EB",Übungsbehandlung im Bewegungsbad: Einzelbehandlung,1900-01-01,9999-12-31,GKV-SV
80305,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten, 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., EB",Übungsbehandlung im Bewegungsbad: Einzelbehandlung,1900-01-01,9999-12-31,GKV-SV
